drug_id	cyp1a2_sub	cyp1a2_inh	cyp1a2_ind	cyp2c19_sub	cyp2c19_inh	cyp2c19_ind	cyp2c9_sub	cyp2c9_inh	cyp2c9_ind	cyp2d6_sub	cyp2d6_inh	cyp2d6_ind	cyp2e1_sub	cyp2e1_inh	cyp2e1_ind	cyp3a4_sub	cyp3a4_inh	cyp3a4_ind
(1s_3ar_5r_7s_7as)_1__(1s)_1_hydroxyethyl__4_methylidene_2_oxo_7_(propan_2_yl)_octahydro_1h_inden_5_yl_3_methylbutanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(1s_3s_4s_6s_7s_8r_11s_12s_14s_15r_16r)_4_6_14_trihydroxy_15__(2r_5s)_5_hydroxy_5_(hydroxymethyl)_6_methylheptan_2_yl__7_12_16_trimethylpentacyclo_9.7.0.01_3.03_8.012_16_octadecane_7_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2-NAPHTHYL)HYDRAZINE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(20s)_6alpha_(beta_d_glucopyranosyloxy)_20__2_o_(beta_d_glucopyranosyl)_6_o_(alpha_l_rhamnopyranosyl)_beta_d_glucopyranosyloxy_dammara_24_ene_3beta_12beta_17_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(20s)_protopanaxadiol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(23s_24s)_17_23_epoxy_24_29_dihydroxy_27_norlanost_8_ene_3_15_dione	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(25r)_3beta__4_o__2_o__3_o_(beta_d_glucopyranosyl)_beta_d_glucopyranosyl__3_o_(beta_d_xylopyranosyl)_beta_d_glucopyranosyl__beta_d_galactopyranosyloxy__6beta_hydroxy_5alpha_spirostane_2_one	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2S)-2-[(2R)-2,6-Diaminohexanamido]-3-(4-hydroxyphenyl)propanoic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2S,3R,4S,5R,6S)-6-[5,7-Dihydroxy-2-(4-hydroxyphenyl)-4-oxochromen-3-yl]oxy-3,4,5-trihydroxyoxane-2-carboxylic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2S,4S,5R,6R)-2-{[(2S,3R,4S,5S,6R)-2-{[(2R,3S,4R,5R,6R)-4,5-Dihydroxy-6-{[(2S,3R)-3-hydroxy-2-tetradecanamidooctadecyl]oxy}-2-(hydroxymethyl)oxan-3-yl]oxy}-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy}-5-acetamido-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2S,6R)-2,6,10-Trimethylundecanoic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2e_4z)_2_4_dodecadienal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)_2_acetyltetrahydrofuran_2alpha_3alpha_4alpha_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)_2_{_(2r)_2_amino_1_hydroxy_3_(4_hydroxyphenyl)propylidene_amino}_3_(c_hydroxycarbonimidoyl)propanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)_2_{_(2r)_2_amino_1_hydroxy_3_methylbutylidene_amino}_3_(c_hydroxycarbonimidoyl)propanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)_2_{_(2r)_2_amino_1_hydroxy_3_phenylpropylidene_amino}_3_(c_hydroxycarbonimidoyl)propanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)_2_{_(2r)_2_amino_1_hydroxy_4_(methylsulfanyl)butylidene_amino}_4_methylpentanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)_2_{_(2r)_2_amino_1_hydroxy_4_(methylsulfanyl)butylidene_amino}butanedioic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r)_2_{_(2r)_2_amino_1_hydroxy_4_(methylsulfanyl)butylidene_amino}propanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r_3r_4r_5r_6s)_2___(1r_3r_8s_9s_10r_13s_14s_16s_17r)_3_hydroxy_17__(2s_3s)_3_hydroxy_6_methylheptan_2_yl__10_13_dimethyl_16__(2r_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxy_2_3_4_7_8_9_11_12_14_15_16_17_dodecahydro_1h_cyclopenta_a_phenanthren_1_yl_oxy__6_methyloxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r_3r_4r_5s_6r)_2__(2s)_4__(7s_9s_13s_16s_18r)_16__(2r_3r_4r_5r_6r)_4_5_dihydroxy_6_(hydroxymethyl)_3__(2s_3r_4r_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxyoxan_2_yl_oxy_6_methoxy_7_9_13_trimethyl_5_oxapentacyclo_10.8.0.02_9.04_8.013_18_icosan_6_yl__2_methylbutoxy__6_(hydroxymethyl)oxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r_3s_4r_5r_6r)_2_(hydroxymethyl)_6___(1r_4s_5s_8r_9r_12s_16s_19r)_19_methoxy_8__(e_2r)_6_methoxy_6_methylhept_4_en_2_yl__5_9_17_17_tetramethyl_18_oxapentacyclo_10.5.2.01_13.04_12.05_9_nonadec_2_en_16_yl_oxy_oxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r_3s_4s_5r_6r)_2_(hydroxymethyl)_6__(2r)_4__(1r_2s_4s_8s_9s_12s_13s_15r_16r_18s)_15_hydroxy_7_9_13_trimethyl_16__(2r_3r_4r_5s_6r)_3_4_5_trihydroxy_6___(2s_3r_4r_5r)_3_4_5_trihydroxyoxan_2_yl_oxymethyl_oxan_2_yl_oxy_5_oxapentacyclo_10.8.0.02_9.04_8.013_18_icos_6_en_6_yl__2_methylbutoxy_oxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2r_3s_4s_5r_6r)_2_(hydroxymethyl)_6___(1r_4s_5s_8r_9r_12s_16s_19r)_8__(e_2r)_6_hydroxy_6_methylhept_4_en_2_yl__19_methoxy_5_9_17_17_tetramethyl_18_oxapentacyclo_10.5.2.01_13.04_12.05_9_nonadec_2_en_16_yl_oxy_oxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s)_2__(2_{_6_({2__(6_{_3_5_dihydroxy_2_(hydroxymethyl)_6__(1_2_4_5_tetrahydroxy_6_oxohexan_3_yl)oxy_oxan_4_yl_oxy}_5_acetamido_4_hydroxy_2_(hydroxymethyl)oxan_3_yl)oxy__3_5_dihydroxy_6_(hydroxymethyl)oxan_4_yl}oxy)_5_acetamido_4_hydroxy_2_(hydroxymethyl)oxan_3_yl_oxy}_3_5_dihydroxy_6_(hydroxymethyl)oxan_4_yl)oxy__5_acetamido_4_hydroxy_6_(1_2_3_trihydroxypropyl)oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s)_2_amino_3__(3_methylbut_2_en_1_yl)sulfanyl_propanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s)_2_azaniumyloctanoate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s)_2_{_(2r)_2_amino_1_hydroxy_4_(methylsulfanyl)butylidene_amino}_4_(c_hydroxycarbonimidoyl)butanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s)_2alpha_(3_methoxy_4_hydroxyphenyl)_4alpha_(1_3_benzodioxole_5_ylmethyl)tetrahydrofuran_3beta_methanol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r)_2_(3_hydroxy_4_methoxyphenyl)_3_4_dihydro_2h_1_benzopyran_3_5_7_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r_4as_5s_7r_8r_8ar)_7_{_(3s_4r_6ar_6bs_8as_12as_14ar_14br)_4_(hydroxymethyl)_4_6a_6b_11_11_14b_hexamethyl_8a_({_(2s_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxy}carbonyl)_1_2_3_4_4a_5_6_6a_6b_7_8_8a_9_10_11_12_12a_14_14a_14b_icosahydropicen_3_yl_oxy}_2_(carboxymethoxy)_3_8_dihydroxy_hexahydro_2h_pyrano_3_4_b__1_4_dioxine_3_5_dicarboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r_4r_5r_6s)_2__(2s_3r_4s_5s)_4__(2s_3r_4s_5s_6r)_4_5_dihydroxy_3__(2r_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxy_6___(2r_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxymethyl_oxan_2_yl_oxy_5_hydroxy_2___(1s_2r_5r_7s_10r_11r_16s_18s_20s)_16_hydroxy_2_6_6_10_16_pentamethyl_18_(2_methylprop_1_enyl)_19_21_dioxahexacyclo_18.2.1.01_14.02_11.05_10.015_20_tricosan_7_yl_oxy_oxan_3_yl_oxy_6_methyloxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r_4s_5s_6r)_2__(2r_3r_4s_5s_6r)_4_5_dihydroxy_6_(hydroxymethyl)_2_(15_hydroxy_5prime_7_9_13_tetramethylspiro_5_oxapentacyclo_10.8.0.02_9.04_8.013_18_icosane_6_2prime_oxane__16_yl)oxyoxan_3_yl_oxy_6_(hydroxymethyl)oxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r_4s_5s_6r)_2__(e_2s)_6_hydroperoxy_6_methyl_2__(3s_6s_8r_9r_10r_12r_14r_17s)_3_6_12_trihydroxy_4_4_8_10_14_pentamethyl_2_3_5_6_7_9_11_12_13_15_16_17_dodecahydro_1h_cyclopenta_a_phenanthren_17_yl_hept_4_en_2_yl_oxy_6_(hydroxymethyl)oxane_3_4_5_triol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_(4ar_5r_6as_6br_10s_12ar_12br)_10_{_(2s_3r_4s_5s)_3_5_dihydroxy_4_{_(2s_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxy}oxan_2_yl_oxy}_5_hydroxy_2_2_6a_6b_9_9_12a_heptamethyl_1_2_3_4_4a_5_6_6a_6b_7_8_8a_9_10_11_12_12a_12b_13_14b_icosahydropicene_4a_carboxylate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_(4ar_5r_6as_6br_10s_12ar_12br)_10_{_(2s_3r_4s_5s)_4_{_(2s_3r_4s_5r_6r)_3_5_dihydroxy_6_(hydroxymethyl)_4_{_(2s_3r_4s_5s_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxy}oxan_2_yl_oxy}_3_5_dihydroxyoxan_2_yl_oxy}_5_hydroxy_2_2_6a_6b_9_9_12a_heptamethyl_1_2_3_4_4a_5_6_6a_6b_7_8_8a_9_10_11_12_12a_12b_13_14b_icosahydropicene_4a_carboxylate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3r_6r_8s_11r_18r)_18_(furan_3_yl)_2_11_dihydroxy_3_9_9_17_tetramethyl_4_7_19_trioxahexacyclo_11.7.1.02_11.03_8.06_8.017_21_henicosa_1(21)_13_diene_5_10_20_trione	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3s)_1__(2s)_1_(2_aminoacetyl)pyrrolidine_2_carbonyl__3_hydroxypyrrolidine_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_3s_4s_5r_6r)_6_{_(3s_4s_6ar_6bs_8ar_9r_12as_14ar_14br)_9_hydroxy_4_(hydroxymethyl)_4_6a_6b_8a_11_11_14b_heptamethyl_1_2_3_4_4a_5_6_6a_6b_7_8_8a_9_10_11_12_12a_14_14a_14b_icosahydropicen_3_yl_oxy}_3_4_dihydroxy_5_{_(2s_3r_4s_5s_6r)_5_hydroxy_6_(hydroxymethyl)_3_{_(2s_3r_4r_5r_6s)_3_4_5_trihydroxy_6_methyloxan_2_yl_oxy}_4_{_(2s_3r_4s_5s)_3_4_5_trihydroxyoxan_2_yl_oxy}oxan_2_yl_oxy}oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_4s_5r)_2_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(2r_3s_4r_5r_6s)_3_{_(2s_3r_4r_5r_6r)_4_5_dihydroxy_6_(hydroxymethyl)_3_(2_oxopropyl)oxan_2_yl_oxy}_6_{_(2r_3s_4r_5r_6r)_4_5_dihydroxy_6_{_(2s_3r)_3_hydroxy_2__(1_hydroxydodecylidene)amino_octadec_4_en_1_yl_oxy}_2_(hydroxymethyl)oxan_3_yl_oxy}_5_hydroxy_2_(hydroxymethyl)oxan_4_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_5__(1_hydroxyethylidene)amino__6__(1r_2r)_1_2_3_trihydroxypropyl_oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_4s_5r)_2_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(2r_3s_4r_5r_6s)_3_{_(2s_3r_4r_5r_6r)_4_5_dihydroxy_6_(hydroxymethyl)_3_(2_oxopropyl)oxan_2_yl_oxy}_6_{_(2r_3s_4r_5r_6r)_4_5_dihydroxy_6_{_(2s_3r)_3_hydroxy_2__(1_hydroxytetracosylidene)amino_octadec_4_en_1_yl_oxy}_2_(hydroxymethyl)oxan_3_yl_oxy}_5_hydroxy_2_(hydroxymethyl)oxan_4_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_5__(1_hydroxyethylidene)amino__6__(1r_2r)_1_2_3_trihydroxypropyl_oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_4s_5r)_2_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(2r_3s_4r_5r_6s)_3_{_(2s_3r_4r_5r_6r)_4_5_dihydroxy_6_(hydroxymethyl)_3_(2_oxopropyl)oxan_2_yl_oxy}_6_{_(2r_3s_4r_5r_6r)_4_5_dihydroxy_6_{_(2s_3r)_3_hydroxy_2__(1_hydroxytricosylidene)amino_octadec_4_en_1_yl_oxy}_2_(hydroxymethyl)oxan_3_yl_oxy}_5_hydroxy_2_(hydroxymethyl)oxan_4_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_5__(1_hydroxyethylidene)amino__6__(1r_2r)_1_2_3_trihydroxypropyl_oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_4s_5r)_2_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(2s_3r_4r_5s_6r)_2_{_(2r_3s_4r_5r_6r)_4_5_dihydroxy_6_{_(2s_3r)_3_hydroxy_2__(1_hydroxydodecylidene)amino_octadec_4_en_1_yl_oxy}_2_(hydroxymethyl)oxan_3_yl_oxy}_3_hydroxy_5_{_(2s_3r_4r_5r_6r)_5_hydroxy_6_(hydroxymethyl)_3_(2_oxopropyl)_4_{_(2r_3r_4s_5r_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxy}oxan_2_yl_oxy}_6_(hydroxymethyl)oxan_4_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_5__(1_hydroxyethylidene)amino__6__(1r_2r)_1_2_3_trihydroxypropyl_oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_4s_5r)_2_{_(1s_2r)_1__(3r_4s_6s)_6_carboxy_6_{_(2s_3r_4r_5s_6r)_2_{_(2r_3s_4r_5r_6r)_4_5_dihydroxy_6_{_(2s_3r)_3_hydroxy_2__(1_hydroxyhexacos_17_en_1_ylidene)amino_octadecyl_oxy}_2_(hydroxymethyl)oxan_3_yl_oxy}_3_hydroxy_5_{_(2s_3r_4r_5r_6r)_5_hydroxy_6_(hydroxymethyl)_3_(2_oxopropyl)_4_{_(2r_3r_4s_5r_6r)_3_4_5_trihydroxy_6_(hydroxymethyl)oxan_2_yl_oxy}oxan_2_yl_oxy}_6_(hydroxymethyl)oxan_4_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_5__(1_hydroxyethylidene)amino__6__(1r_2r)_1_2_3_trihydroxypropyl_oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_4s_5r_6r)_2_{_(1s_2r)_1__(2r_3r_4s_6s)_6_carboxy_6_{_(2r_3s_4r_5r_6s)_3_{_(2s_3r_4r_5r_6r)_4_5_dihydroxy_3__(1_hydroxyethylidene)amino__6_(hydroxymethyl)oxan_2_yl_oxy}_6_{_(2r_3s_4r_5r_6r)_4_5_dihydroxy_6_{_(2s_3r)_3_hydroxy_2__(1_hydroxytetracosylidene)amino_octadec_4_en_1_yl_oxy}_2_(hydroxymethyl)oxan_3_yl_oxy}_5_hydroxy_2_(hydroxymethyl)oxan_4_yl_oxy}_4_hydroxy_3__(1_hydroxyethylidene)amino_oxan_2_yl__1_3_dihydroxypropan_2_yl_oxy}_4_hydroxy_5__(1_hydroxyethylidene)amino__6__(1r_2r)_1_2_3_trihydroxypropyl_oxane_2_carboxylic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(2s_5r_8s)_2_8_dimethyl_5_prop_1_en_2_yl_11_oxatricyclo_5.3.1.01_7_undecane	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3S)-Hex-1-en-3-ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3as_6s_9ar)_decahydro_1__(4z)_6_methoxy_1_5_dimethyl_6_oxo_4_hexenyl__3a_9a_dimethyl_6_(1_methylethenyl)_1h_cyclopenta_a_cyclopropa_e_naphthalene_6a(7h)_propanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3beta,22E,24R)-5,8-Epidioxy-23-methylergosta-6,22-dien-3-ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3beta,4alpha,5alpha,24(28)Z)-4,14-Dimethylstigmasta-9(11),24(28)-dien-3-ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3beta_17alpha_23r)_17_23_epoxy_3_29_dihydroxy_27_norlanost_8_ene_15_24_dione	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3primes_5primer)_5prime_hydroxythalidomide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3r)_2_3_6_7_8_9_10_10a_octahydro_4_7_10abeta_trimethyl_1h_3abeta_8beta_methano_4alpha_7alpha_epoxy_4h_5_oxacyclopentacyclononene_3beta_ol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3r)_3_amino_3_{_(1s)_1_carboxy_2_(1h_indol_3_yl)ethyl__c_hydroxycarbonimidoyl}propanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3r)_3_hydroxy_12prime_apo_beta_carotenol	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3r)_3_hydroxydodecanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3r_5r)_3_(2_oxopropyl)_5__(6r_7s_11r)_6_7_11_trihydroxy_11__(2r_5r)_5__(1r)_1_hydroxytridecyl_oxolan_2_yl_undecyl_oxolan_2_one	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3s)_hydroxyhexadecanedioyl_coa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(3s_6e)_6_caryophyllen_15_al	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
(4r)_4__(5r_8r_9s_10s_13r_14s_17r)_7_hydroxy_10_13_dimethyl_3_oxo_1_2_4_5_6_7_8_9_11_12_14_15_16_17_tetradecahydrocyclopenta_a_phenanthren_17_yl_pentanoic_acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
